Model,Target,Metric,Value
B1: XGBoost (Tabular + Rules),Dry_Clover_g,RMSE,6.6684913669282295
B1: XGBoost (Tabular + Rules),Dry_Clover_g,MAE,3.514300174416105
B1: XGBoost (Tabular + Rules),Dry_Clover_g,R2,0.6417550526026556
B1: XGBoost (Tabular + Rules),Dry_Clover_g,MAPE,74.48254157038218
B1: XGBoost (Tabular + Rules),Dry_Dead_g,RMSE,11.241246700883028
B1: XGBoost (Tabular + Rules),Dry_Dead_g,MAE,6.018244207696783
B1: XGBoost (Tabular + Rules),Dry_Dead_g,R2,0.31275548837275424
B1: XGBoost (Tabular + Rules),Dry_Dead_g,MAPE,73.6391647588964
B1: XGBoost (Tabular + Rules),Dry_Green_g,RMSE,16.649065906298574
B1: XGBoost (Tabular + Rules),Dry_Green_g,MAE,8.077544750015935
B1: XGBoost (Tabular + Rules),Dry_Green_g,R2,0.644488961567368
B1: XGBoost (Tabular + Rules),Dry_Green_g,MAPE,42.070183501236244
B1: XGBoost (Tabular + Rules),Dry_Total_g,RMSE,21.815212520122742
B1: XGBoost (Tabular + Rules),Dry_Total_g,MAE,12.487953198941547
B1: XGBoost (Tabular + Rules),Dry_Total_g,R2,0.49423874005493684
B1: XGBoost (Tabular + Rules),Dry_Total_g,MAPE,27.795275501787902
B1: XGBoost (Tabular + Rules),GDM_g,RMSE,13.657012488247226
B1: XGBoost (Tabular + Rules),GDM_g,MAE,8.963378251881068
B1: XGBoost (Tabular + Rules),GDM_g,R2,0.7248377672781867
B1: XGBoost (Tabular + Rules),GDM_g,MAPE,27.08760301278116
B1: XGBoost (Tabular + Rules),CSR,CSR1_GDM_Conservation,0.1527777761220932
B1: XGBoost (Tabular + Rules),CSR,CSR2_Total_Conservation,0.1527777761220932
B1: XGBoost (Tabular + Rules),CSR,CSR3_Clover_LTE_GDM,0.9444444179534912
B1: XGBoost (Tabular + Rules),CSR,CSR4_Total_GTE_Max,0.75
B1: XGBoost (Tabular + Rules),CSR,Symbolic_Drift_g,0.0
B2: Neural Tabular Only,Dry_Clover_g,RMSE,12.148124694824219
B2: Neural Tabular Only,Dry_Clover_g,MAE,5.949896812438965
B2: Neural Tabular Only,Dry_Clover_g,R2,-0.18889474868774414
B2: Neural Tabular Only,Dry_Clover_g,MAPE,70.7081298828125
B2: Neural Tabular Only,Dry_Dead_g,RMSE,15.602555274963379
B2: Neural Tabular Only,Dry_Dead_g,MAE,8.726130485534668
B2: Neural Tabular Only,Dry_Dead_g,R2,-0.32395660877227783
B2: Neural Tabular Only,Dry_Dead_g,MAPE,67.15478515625
B2: Neural Tabular Only,Dry_Green_g,RMSE,34.74607849121094
B2: Neural Tabular Only,Dry_Green_g,MAE,22.73311996459961
B2: Neural Tabular Only,Dry_Green_g,R2,-0.5484063625335693
B2: Neural Tabular Only,Dry_Green_g,MAPE,84.03370666503906
B2: Neural Tabular Only,Dry_Total_g,RMSE,48.34961700439453
B2: Neural Tabular Only,Dry_Total_g,MAE,38.340553283691406
B2: Neural Tabular Only,Dry_Total_g,R2,-1.4843499660491943
B2: Neural Tabular Only,Dry_Total_g,MAPE,81.0897216796875
B2: Neural Tabular Only,GDM_g,RMSE,37.621768951416016
B2: Neural Tabular Only,GDM_g,MAE,28.848249435424805
B2: Neural Tabular Only,GDM_g,R2,-1.0881218910217285
B2: Neural Tabular Only,GDM_g,MAPE,78.117431640625
B2: Neural Tabular Only,CSR,CSR1_GDM_Conservation,0.3888888955116272
B2: Neural Tabular Only,CSR,CSR2_Total_Conservation,0.1666666716337204
B2: Neural Tabular Only,CSR,CSR3_Clover_LTE_GDM,1.0
B2: Neural Tabular Only,CSR,CSR4_Total_GTE_Max,0.7361111044883728
B2: Neural Tabular Only,CSR,Symbolic_Drift_g,3.235318899154663
B3: Neural Image Only,Dry_Clover_g,RMSE,9.977946281433105
B3: Neural Image Only,Dry_Clover_g,MAE,5.039306640625
B3: Neural Image Only,Dry_Clover_g,R2,0.19793927669525146
B3: Neural Image Only,Dry_Clover_g,MAPE,95.1656494140625
B3: Neural Image Only,Dry_Dead_g,RMSE,12.952134132385254
B3: Neural Image Only,Dry_Dead_g,MAE,6.9553351402282715
B3: Neural Image Only,Dry_Dead_g,R2,0.0876426100730896
B3: Neural Image Only,Dry_Dead_g,MAPE,51.53216552734375
B3: Neural Image Only,Dry_Green_g,RMSE,29.972936630249023
B3: Neural Image Only,Dry_Green_g,MAE,16.446861267089844
B3: Neural Image Only,Dry_Green_g,R2,-0.15221083164215088
B3: Neural Image Only,Dry_Green_g,MAPE,69.32865142822266
B3: Neural Image Only,Dry_Total_g,RMSE,39.12653350830078
B3: Neural Image Only,Dry_Total_g,MAE,26.413503646850586
B3: Neural Image Only,Dry_Total_g,R2,-0.6269322633743286
B3: Neural Image Only,Dry_Total_g,MAPE,49.23154830932617
B3: Neural Image Only,GDM_g,RMSE,32.084373474121094
B3: Neural Image Only,GDM_g,MAE,20.521366119384766
B3: Neural Image Only,GDM_g,R2,-0.5186741352081299
B3: Neural Image Only,GDM_g,MAPE,52.16006088256836
B3: Neural Image Only,CSR,CSR1_GDM_Conservation,0.2222222238779068
B3: Neural Image Only,CSR,CSR2_Total_Conservation,0.2916666567325592
